classe,metodo,eficacia_rf,tempo_corrido
cdbox,fourier_real,99.9610440202571%,2.4932668209075928s
cdbox,fourier_zcurve,99.94128009395186%,2.1887423992156982s
cdbox,entropy_shannon,95.11499714883102%,1.1881792545318604s
cdbox,entropy_tsallis,93.71128214755022%,1.1752138137817383s
cdbox,complex,99.90255310855582%,2.5574469566345215s
hacabox,fourier_real,99.72868217054264%,3.4295387268066406s
hacabox,fourier_zcurve,99.78694557427852%,3.5118279457092285s
hacabox,entropy_shannon,93.66340291889894%,1.2096192836761475s
hacabox,entropy_tsallis,93.26710816777042%,1.216395378112793s
hacabox,complex,99.8644199109045%,5.0711634159088135s
