classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.95178197064989%,98.74476987447699%,99.07640638119226%,99.2606829966029%,99.15916532103381%,0.8718152046203613s,cd_box_fourier_real_12-05-2023_13-25-38.pickle
cd_box,fourier_zcurve,98.32775919732441%,98.21826280623608%,98.39357429718876%,98.80552685950413%,98.74718724593086%,0.5090794563293457s,cd_box_fourier_zcurve_12-05-2023_13-25-38.pickle
cd_box,entropy_shannon,79.9552071668533%,77.6086956521739%,81.43248175182482%,85.98495438622871%,84.8294524285974%,0.3074808120727539s,cd_box_entropy_shannon_12-05-2023_13-25-38.pickle
cd_box,entropy_tsallis,80.08611410118407%,78.8135593220339%,80.8695652173913%,85.48645448052882%,84.90466101694916%,0.3204178810119629s,cd_box_entropy_tsallis_12-05-2023_13-25-38.pickle
cd_box,complex,99.67982924226254%,99.36170212765958%,99.87168520102652%,99.84193888303477%,99.68085106382979%,0.8270771503448486s,cd_box_complex_12-05-2023_13-25-38.pickle
haca_box,fourier_real,96.02649006622515%,94.46254071661238%,96.98996655518395%,97.9333565540462%,96.86168218512773%,0.5457994937896729s,haca_box_fourier_real_12-05-2023_13-25-41.pickle
haca_box,fourier_zcurve,97.98449612403101%,96.34146341463415%,98.99749373433583%,99.20192977790047%,98.11673602697151%,0.5450193881988525s,haca_box_fourier_zcurve_12-05-2023_13-25-41.pickle
haca_box,entropy_shannon,34.11214953271028%,24.17218543046358%,45.28535980148884%,68.8175447483958%,59.302479269853634%,0.29179978370666504s,haca_box_entropy_shannon_12-05-2023_13-25-41.pickle
haca_box,entropy_tsallis,52.61194029850746%,44.0625%,59.54391891891891%,74.0165382145151%,68.01626070663812%,0.2910501956939697s,haca_box_entropy_tsallis_12-05-2023_13-25-41.pickle
haca_box,complex,98.44020797227037%,97.26027397260275%,99.16201117318437%,99.41176470588235%,98.57816193432632%,0.6241540908813477s,haca_box_complex_12-05-2023_13-25-41.pickle
